normalized_mem,dsa_wfp,stonewall,dc_37,twu,cops,sanitation,firemen,carpenters,psc,teachers,tile,acec,cwa,hotel,nysl,seiu,ironworkers,afl_cio
David M Carr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Erik Bottcher,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,1000.0,250.0,0.0,750.0,0.0,1000.0,2000.0,500.0,0.0
Joann Ariola,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Linda Lee,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,1000.0,250.0,500.0,0.0,0.0,1000.0,2000.0,500.0,0.0
Nantasha Williams,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,1000.0,250.0,0.0,0.0,1000.0,1000.0,2000.0,0.0,0.0
Sandy Nurse,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,1000.0,0.0,0.0,0.0,750.0,0.0,0.0,750.0,0.0,0.0
Charles Barron,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,0.0,0.0,0.0,0.0,2000.0,0.0,0.0
Rita C Joseph,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,750.0,0.0,0.0,1000.0,0.0,0.0
Julie Won,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,500.0,1000.0,0.0,0.0
Mercedes Narcisse,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,750.0,1000.0,0.0,2000.0,0.0,0.0
Farah Louis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0
