matched_name,count,total_amount,mean_amount,home_district_percentage,oos_percentage,perc_IND_value
Ingrid P Gomez,585,31226.45,53.37854700854701,22.807017543859647,13.684210526315791,100.0
Inna Vernikov,430,46053.66,107.10153488372094,0.0,16.431924882629108,95.83599176437832
Irene Estrada,8,1175.0,146.875,0.0,50.0,94.37751004016064
Ischia Bravo,343,49381.15,143.96836734693878,40.17595307917888,7.038123167155426,79.90070085424449
Ivan D Mossop Jr,17,945.0,55.588235294117645,0.0,5.88235294117647,37.3594572797571
Jacqueline Painter,498,21356.07,42.88367469879518,2.857142857142857,12.857142857142856,99.53393142360181
Jacqueline Toboroff,355,53030.33,149.38121126760564,0.0,20.56338028169014,99.7506343709617
Jaime-Faye Bean,123,3870.0,31.463414634146343,0.0,12.195121951219512,90.104772991851
James E Behr,20,4496.0,224.8,65.0,10.0,100.0
James F Gennaro,445,72394.0,162.68314606741572,52.06422018348624,12.844036697247708,74.14075621645979
James F Reilly,150,11235.0,74.9,69.5945945945946,14.18918918918919,99.11733957944607
James J Johnson,985,58854.0,59.750253807106596,27.88065843621399,27.674897119341562,100.0
Japneet Singh,57,20481.0,359.3157894736842,33.92857142857143,39.285714285714285,100.0
Jaslin Kaur,1446,48795.11,33.744889349930844,10.434173669467787,20.518207282913163,94.0546855589037
Jason Clark,492,83492.0,169.6991869918699,0.0,32.231404958677686,99.39002011918183
Jason L Walker,307,13519.0,44.03583061889251,0.0,15.894039735099339,100.0
Jason R Price,51,1325.0,25.980392156862745,0.0,3.9215686274509802,64.07249621609597
Jeanette Toomer,11,235.0,21.363636363636363,0.0,45.45454545454545,66.06319577195546
Jeffrey Omura,885,59408.0,67.12768361581921,18.296892980437285,21.173762945914845,100.0
Jennifer E DeLuca,82,3937.0,48.01219512195122,0.0,12.195121951219512,97.5229130542482
Jennifer Gutierrez,613,38091.64,62.13970636215334,20.764119601328904,10.79734219269103,74.19248781301103
Jenny L Low,727,114889.85,158.03280605226962,33.80084151472651,19.49509116409537,86.41054244591568
Jermaine Sean Smith,240,15418.16,64.24233333333333,32.03463203463203,27.27272727272727,86.32856024627293
Jesse A Cerrotti,142,4160.0,29.295774647887324,0.0,22.69503546099291,95.80838323353294
Jesse D Laymon,318,25830.63,81.2283962264151,13.548387096774196,25.161290322580644,85.55191563057974
Jessica Haller,2,1500.0,750.0,50.0,0.0,20.389770859755078
Jessica Simmons,96,10471.0,109.07291666666667,29.03225806451613,40.86021505376344,91.28236422282276
Joann Ariola,371,43905.0,118.34231805929919,60.810810810810814,5.135135135135135,89.59289868380777
Johanna Garcia,1245,71657.0,57.55582329317269,53.18444995864351,5.293631100082713,95.79518276844429
John Choe,641,55263.81,86.21499219968798,22.929936305732486,15.445859872611464,97.9180992653814
John F McBeth,121,7485.0,61.85950413223141,66.66666666666666,15.0,83.96498710517666
John J Joyner Jr,32,645.0,20.15625,0.0,6.25,100.0
John Sanchez,341,26940.0,79.00293255131965,29.20353982300885,12.979351032448378,91.66383123511397
John Williams,276,12038.0,43.61594202898551,59.63636363636363,5.090909090909091,100.0
John-Alexander Sakelos,237,22067.0,93.1097046413502,67.67241379310344,6.0344827586206895,99.5488789642261
Jomo Williams,15,355.0,23.666666666666668,0.0,0.0,5.890160942425751
Jonathan Bailey,420,21209.0,50.49761904761905,35.148514851485146,9.900990099009901,100.0
Jordan Hafizi,238,13465.0,56.575630252100844,46.186440677966104,3.8135593220338984,100.0
Joseph Borelli,415,39530.0,95.25301204819277,0.0,8.06845965770171,81.91897212724069
Joseph Packer,185,13752.0,74.33513513513513,58.011049723756905,11.049723756906078,88.24084257428157
Joshua Clennon,373,23262.81,62.36678284182306,28.92561983471074,15.151515151515152,97.58377200875378
Joshua Kravitz,132,0.0,0.0,0.0,13.846153846153847,0.0
Josue G Perez,353,26816.0,75.96600566572238,36.49425287356322,5.747126436781609,94.07145656053342
Josue Pierre,627,55125.7,87.91977671451355,36.48208469055375,7.0032573289902285,93.98182955791168
Juan D Ardila,785,43049.0,54.83949044585987,39.50777202072539,4.533678756476684,86.87711395797513
Juan Pagan,7,2425.0,346.42857142857144,0.0,16.666666666666664,69.57634461665586
Judy D Newton,436,76012.0,174.3394495412844,40.55944055944056,10.256410256410255,99.41797350144526
Julia Forman,624,32339.42,51.82599358974359,27.914614121510674,13.136288998357964,88.4523084716075
Julian S Sepulveda,168,20955.0,124.73214285714286,0.0,26.993865030674847,99.88083889418495
Julie Menin,660,104280.11,158.00016666666667,37.75671406003159,12.480252764612953,90.85207358661705
Julie Won,805,81896.99,101.73539130434783,19.143576826196472,32.87153652392947,94.76363645620498
Justin Brannan,637,75829.0,119.04081632653062,0.0,3.6799999999999997,75.69350861957098
Justin M Krebs,581,56304.18,96.9090877796902,23.117338003502628,43.957968476357266,91.711089490836
Kaled A Alamarie,872,38028.0,43.61009174311926,21.288837744533947,7.3647871116225545,93.15551444488594
Kalman Yeger,656,228846.0,348.8506097560976,0.0,8.231707317073171,88.41745141021636
Kamillah M Hanks,658,83246.99,126.51518237082068,55.86854460093896,8.137715179968701,85.91106639560789
Kathleen Sforza,194,16315.85,84.10231958762887,52.63157894736842,8.421052631578947,90.9621301702573
Keith Harris,172,7765.0,45.145348837209305,58.82352941176471,10.588235294117647,98.35376195223034
Keith L Taylor,383,36595.21,95.54885117493473,44.354838709677416,16.397849462365592,96.61537901022805
Keith Powers,586,89693.28,153.060204778157,0.0,18.374558303886925,76.56715775757688
Kelvin Richards,444,33173.34,74.71472972972973,74.31818181818181,12.272727272727273,96.08960199100088
Kenichi Wilson,264,17787.0,67.375,0.0,6.130268199233716,100.0
Kenya Handy-Hilliard,681,65995.43,96.90958883994125,23.64457831325301,29.668674698795183,88.79965102011627
Kerryanne C Burke,325,23703.21,72.93295384615385,24.76780185758514,22.910216718266255,99.16329229421488
Kevin C Riley,429,34501.0,80.42191142191142,45.28301886792453,15.09433962264151,66.28304306044339
Kim Moscaritolo,693,54391.85,78.48751803751803,35.63049853372434,10.117302052785924,89.89370624978825
Koshy O Thomas,259,30443.0,117.54054054054055,56.201550387596896,32.945736434108525,100.0
Kristin R Jordan,1803,91073.0,50.51192457016084,0.0,14.654688377316113,96.81098721205872
Lattina Brown,97,4295.0,44.27835051546392,0.0,12.371134020618557,100.0
Lena A Melendez,259,9507.0,36.706563706563706,49.224806201550386,3.875968992248062,96.8422124885403
Leonardo Bullaro,430,40815.0,94.9186046511628,42.5531914893617,21.513002364066196,89.08654370839245
Leonardo Coello,309,12387.0,40.0873786407767,0.0,13.725490196078432,86.49873886556558
Leroy Gadsden,111,8270.0,74.50450450450451,33.02752293577982,22.018348623853214,100.0
Leslie Boghosian Murphy,340,43707.0,128.55,59.93975903614458,12.048192771084338,97.31006370005336
Liliana C Melo,540,26154.57,48.43438888888889,45.55555555555556,3.7037037037037033,92.84112352562819
Lilithe L Lozano,34,1365.0,40.14705882352941,61.76470588235294,0.0,80.29553462708165
Lincoln Restler,850,87907.0,103.42,33.49455864570738,15.235792019347038,97.3794496316935
Linda Guillebeaux,92,5600.0,60.869565217391305,72.05882352941177,1.4705882352941175,98.24561403508771
Linda Lee,643,84034.21,130.69083981337482,30.4552590266876,15.2276295133438,90.33429539608416
Lorenzo Brea,436,17785.41,40.7922247706422,24.88479262672811,5.990783410138248,100.0
Louis A Cespedes,73,4229.0,57.93150684931507,0.0,30.0,72.87120114278034
Lucy Cerezo Scully,23,1885.0,81.95652173913044,0.0,4.545454545454546,100.0
Luis M Tejada,498,24644.0,49.4859437751004,76.50602409638554,2.4096385542168677,99.19497665432297
Lutchi Gayot,15,2745.0,183.0,6.666666666666667,0.0,27.1412680756396
Lynn Schulman,747,89988.0,120.46586345381526,20.393811533052038,12.376933895921239,87.28034548227609
Maayan Z Zik,5,100.0,20.0,0.0,40.0,100.0
Mamnunul M Haq,667,33295.0,49.91754122938531,53.32326283987915,3.7764350453172204,100.0
Manny De Los Santos,423,26491.97,62.6287706855792,0.0,10.90047393364929,99.9057207516545
Manuel F Perez,190,8676.0,45.66315789473684,34.04255319148936,9.574468085106384,97.1991933676899
Marcelle Lashley-Kabore,59,4985.0,84.49152542372882,0.0,42.3728813559322,62.429555416405755
Marco A Tamayo,25,4900.0,196.0,24.0,8.0,50.420807947142535
Marcos A Sierra,187,7008.0,37.475935828877006,4.81283422459893,6.417112299465241,97.63165227082753
Maria A Danzilo,403,38279.01,94.9851364764268,74.62311557788944,2.261306532663317,99.35113827217465
Maria Ordonez,683,28755.11,42.1011859443631,37.64705882352941,10.441176470588236,80.50433512296497
Marie M Adam-Ovide,444,31793.0,71.60585585585585,25.396825396825395,15.873015873015872,90.609325125399
Mario Rosser,571,52492.77,91.93129597197898,11.070780399274046,37.20508166969147,100.0
Mariya Markh,303,29565.5,97.57590759075907,44.666666666666664,3.6666666666666665,81.86374271434703
Marjorie Velazquez,913,75375.25,82.55777656078861,29.812981298129813,9.460946094609461,84.07611944960023
Mark Foley,272,37734.0,138.72794117647058,0.0,12.734082397003746,100.0
Mark Gjonaj,1042,462293.32,443.6596161228407,0.0,42.483026188166825,95.78363384820835
Mark Szuszkiewicz,205,8822.0,43.03414634146341,0.0,9.45273631840796,96.18403837767117
Marko Kepi,422,93602.0,221.80568720379148,41.66666666666667,11.190476190476192,96.95398026427888
Marni Halasa,363,21472.43,59.15269972451791,31.83098591549296,12.676056338028168,74.86526996736215
Marti G Allen-Cummings,1656,82397.9,49.75718599033816,21.773700305810397,23.669724770642205,100.0
Marvin R Jeffcoat,277,21487.0,77.57039711191335,0.0,18.315018315018314,100.0
Matthew I Morgan,9,520.0,57.77777777777778,0.0,50.0,100.0
Maud Maron,750,91648.46,122.19794666666668,23.160762942779293,16.348773841961854,98.4249805402006
Maxi Eugene,281,7824.0,27.843416370106763,77.93594306049823,0.3558718861209964,96.01178058657503
Melody M Jimenez,19,878.0,46.21052631578947,0.0,0.0,100.0
Mercedes Narcisse,869,121255.53,139.5345569620253,38.35457705677868,19.46697566628042,90.36610801719121
Micah Peterson,62,3535.0,57.016129032258064,0.0,21.666666666666668,100.0
Michael Beltzer,433,13437.31,31.033048498845265,30.49645390070922,3.309692671394799,93.07350191967895
Michael D Hollingsworth,2121,83755.82,39.48883545497407,19.03395504543281,14.44285031085605,96.5985376170664
Michael P Schnall,473,32820.4,69.3877378435518,39.91323210412148,19.522776572668114,96.33861936875785
Michael S Conigliaro,361,33425.0,92.59002770083103,0.0,5.571030640668524,99.70171513795675
Miguel Estrella,19,2515.0,132.3684210526316,47.368421052631575,21.052631578947366,93.49442379182156
Mike Scala,320,24710.0,77.21875,0.0,4.38871473354232,76.7987567987568
Ming-Kang Low,46,3945.0,85.76086956521739,56.52173913043478,4.3478260869565215,100.0
Mino Lora,446,30935.0,69.3609865470852,56.68934240362812,3.4013605442176873,97.63294934511599
Mirza M Rashid,262,11970.0,45.68702290076336,24.427480916030532,0.7633587786259541,100.0
Misba Abdin,326,27326.0,83.82208588957056,0.0,0.9202453987730062,90.10749851612478
Mohammad S Uddin,291,16210.0,55.70446735395189,59.106529209621996,3.0927835051546393,98.11160876407214
Mohammed N Mujumder,918,38387.0,41.81590413943355,20.043572984749456,3.2679738562091507,97.33752567385957
Monique S Johnson,352,27855.0,79.13352272727273,41.37931034482759,11.781609195402298,100.0
Moumita Ahmed,611,38944.61,63.7391325695581,26.973684210526315,26.644736842105267,99.97432909737769
Mujib U Rahman,220,22080.0,100.36363636363636,0.0,0.0,100.0
Nabaraj KC,408,28822.0,70.6421568627451,31.44963144963145,11.056511056511056,100.0
Nantasha Williams,774,63088.27,81.50939276485788,18.997361477572557,27.440633245382585,86.8825629254818
Nayma Silver,2,0.0,0.0,0.0,0.0,
Neng Wang,622,146193.0,235.0369774919614,33.92282958199357,14.308681672025724,96.4945265776274
Nicholas B Velkov,241,11611.0,48.178423236514526,0.0,5.809128630705394,95.0786112020963
Nicholas J Robbins,1,10.0,10.0,0.0,0.0,7.324397568300007
Nicholas Roloson,209,9604.0,45.952153110047846,0.0,16.826923076923077,86.4913544668588
Nicole Hunt,68,3821.0,56.19117647058823,0.0,24.242424242424242,100.0
Nicole S Lee,78,5323.0,68.24358974358974,88.46153846153845,0.0,100.0
Nikki Lucas,772,66694.37,86.39167098445596,52.28758169934641,8.235294117647058,92.08051747268313
Olivia Drabczyk,604,27229.51,45.08197019867549,0.0,12.162162162162163,89.98807628270843
Oswald Feliz,312,35852.02,114.9103205128205,41.883116883116884,5.51948051948052,78.89752152504606
Pamela Hamilton-Johnson,59,4083.67,69.21474576271187,61.016949152542374,0.0,100.0
Patricia Rondinelli,214,10016.95,46.80817757009346,0.0,4.225352112676056,85.23649266717437
Patrick Johnson,15,2534.0,168.93333333333334,0.0,13.333333333333334,45.789663895916156
Phelan-Dante Fitzpatrick,454,29543.32,65.07339207048459,32.9646017699115,27.43362831858407,97.29616866111279
Philippe-Edner Apostol-Marius,99,3657.0,36.93939393939394,0.0,10.204081632653061,100.0
Pierina A Sanchez,1300,84443.47,64.95651538461539,14.24124513618677,21.71206225680934,87.42882334481436
Pierre Gooding,127,17322.31,136.39614173228347,9.6,55.2,92.03073374097016
Rafael Acevedo,13,1005.0,77.3076923076923,0.0,30.76923076923077,50.12468827930174
Rafael Salamanca,782,474800.0,607.161125319693,6.985769728331177,40.49159120310479,91.8605248451474
Raimondo Graziano,49,2890.0,58.97959183673469,0.0,8.333333333333332,73.3502538071066
Ranti Ogunleye,722,44000.48,60.942493074792246,50.85227272727273,15.198863636363635,95.58987870645711
Raymond Sanchez,543,46727.82,86.05491712707182,24.810606060606062,33.33333333333333,94.63321791038972
Rebecca Lamorte,698,42292.55,60.59104584527221,29.60812772133527,24.383164005805515,79.73325188928511
Regina Edwards,253,20762.0,82.06324110671937,0.0,7.630522088353414,87.52213135486046
